vibe::percussive,vibe::raw,vibe::euphoric,vibe::vocal,vibe::intense,vibe::piano,mood_top,genre_pred,energy_rms,engagement,track_id,vibe::dreamy,vibe::minimal,vibe::instrumental,vibe::driving,vibe::dark,vibe::deep,vibe::warm,vibe::hypnotic,vibe::punchy,vibe::atmospheric
1.4402,0.1434,0.6758,-0.1061,0.3029,,percussive / euphoric / intense,percussive,0.42347,-0.24962,166600569,,,,,,,,,0.1894,
0.6781,,,,,2.2193,piano / minimal / dreamy,piano,0.35931,0.6555,167526558,1.3592,1.3926,0.7691,,,,,,,0.673
,1.3568,1.145,,1.0911,,raw / punchy / warm,raw,0.83555,0.83918,1171643,,,,1.141,,,1.186,,1.3367,
,,1.2423,0.9858,,1.739,piano / dreamy / euphoric,piano,-0.5908,1.27768,23904623,1.4507,,1.1312,,,,1.14,,,
,1.3419,,1.1783,,0.6433,instrumental / raw / vocal,instrumental,-0.08602,0.3155,264979550,0.7455,0.7024,1.5022,,,,,,,
,1.4248,2.1226,,2.109,,euphoric / intense / warm,euphoric,1.34516,1.28096,18682433,,,,1.3902,1.4872,,1.4978,,,
,1.8138,,2.0747,,1.1511,vocal / raw / instrumental,vocal,0.14192,0.57573,13402861,1.1703,1.1789,1.3566,,,,,,,
0.7208,1.1768,0.8468,,0.8916,,raw / warm / intense,raw,0.42542,0.80177,263380903,0.5902,,,,,,0.9683,,,
1.9201,1.7062,1.8761,,1.5737,,percussive / euphoric / raw,percussive,1.44345,1.04485,137400131,,,,1.4679,,,1.3273,,,
,,,,,,deep / dreamy / atmospheric,deep,0.45376,1.52139,200318735,1.8126,,,,1.383,1.9876,1.735,1.4126,,1.7803
1.6736,0.9387,0.0752,,,0.1299,percussive / raw / piano,percussive,0.08993,-0.26241,55799303,,,0.0168,,,,-0.0405,,,
,0.5133,,,,,deep / punchy / raw,deep,-0.07635,-0.48613,109359756,,-0.0724,0.1029,,-0.0993,1.0405,,,0.5969,
,,,,,2.2837,hypnotic / piano / deep,hypnotic,0.82877,1.52206,113717179,,,,,2.1085,2.1843,,2.2886,1.992,2.0046
,,1.3748,,,2.4666,piano / hypnotic / dreamy,piano,0.68656,1.38466,143645745,1.5686,,1.4028,,,,,1.9376,,1.507
,2.2368,,,,2.3801,deep / piano / raw,deep,0.70537,1.43624,252620748,,,2.0875,,,2.8144,,2.2082,,2.1725
,,,,,,deep / minimal / instrumental,deep,-0.31582,0.04412,212379967,0.7194,1.2255,0.8815,,,1.2322,,0.6831,,0.6728
,,,,,,dreamy / minimal / instrumental,dreamy,1.30596,1.8606,241972585,2.0675,2.0532,2.0182,,,,1.9756,1.8999,,1.8739
,1.7492,,1.5093,,,instrumental / raw / dreamy,instrumental,0.71934,1.28657,4244169,1.711,,1.7793,,,1.5816,,1.6985,,
,,,1.4706,,1.3492,dreamy / hypnotic / vocal,dreamy,0.04647,1.07514,35117748,1.7471,1.3984,,,,1.4278,,1.5907,,
2.852,-0.0973,0.1457,-0.5629,,,percussive / euphoric / warm,percussive,0.21698,-0.38912,153347592,,,,-0.5439,,,0.0243,,,
,,0.3889,0.5507,0.3493,,driving / vocal / punchy,driving,0.48615,0.26392,121111359,,,,0.7283,0.4245,,,,0.544,
,,,,,3.0916,piano / dreamy / deep,piano,0.73499,1.66256,129303348,2.6865,,2.4786,,,2.6233,,2.5124,,2.4862
,1.3965,,0.8474,0.7679,,raw / dark / driving,raw,0.40654,0.45811,21125599,,,,1.0368,1.1899,,0.6952,,,
-0.2103,0.1191,,,,,driving / raw / warm,driving,-0.43198,-0.31611,107415943,,-0.1047,-0.1852,0.159,,,0.0767,,,
2.1658,0.943,1.0428,0.4515,0.8113,,percussive / euphoric / raw,percussive,0.73682,0.21376,79121119,,,,,,,,0.6432,,
,2.0474,1.1632,1.3604,,,raw / vocal / driving,raw,0.95375,0.97708,221333139,,,1.1555,1.2185,1.1225,,,,,
0.1541,0.154,,0.346,,,vocal / percussive / raw,vocal,-0.86224,-1.0444,226912163,-0.8859,,-0.5018,-0.7439,,,,,,
0.2173,0.62,1.1659,1.5492,0.6388,,vocal / euphoric / intense,vocal,-0.1903,-0.23032,215121792,,,,,,,,0.0443,,
1.1427,,1.8975,,,,warm / euphoric / punchy,warm,1.20501,1.58112,118073704,,,,,1.1759,,2.5015,1.4968,1.6647,
-0.5258,-0.7134,,-0.5578,,,percussive / vocal / raw,percussive,-1.33466,-1.80458,218206520,,-1.4866,-1.5518,,,,,,-1.1384,
1.5529,0.8235,,,,,percussive / punchy / raw,percussive,0.95049,0.19657,116658500,,,,0.5777,0.7622,,0.6906,,1.2486,
0.7768,0.3648,-0.267,0.4889,,,percussive / vocal / raw,percussive,-0.36286,-0.82353,133522644,,,-0.1283,,,-0.4914,,,,
,,,,,,dreamy / minimal / instrumental,dreamy,-0.14668,0.79464,57756111,1.8649,1.8237,1.7164,,,1.1028,,1.2596,,1.3542
0.6644,,0.5731,0.496,0.6518,,percussive / intense / driving,percussive,0.58713,0.34882,178798854,,,,0.5984,0.5291,,,,,
,1.7509,,2.2641,1.1921,,vocal / raw / driving,vocal,0.72828,0.9318,183290555,,,,1.3545,1.2975,,,,,1.1896
,0.7678,,0.7835,,,warm / minimal / vocal,warm,-0.00089,0.48751,196968299,0.4065,1.084,0.7205,,,,1.2399,,,
,0.5644,,1.0242,,,vocal / raw / instrumental,vocal,-0.73204,-0.42343,214921215,0.1417,0.1168,0.4394,,-0.076,,,,,
,0.9185,,1.6157,,2.2214,piano / dreamy / minimal,piano,-0.42518,0.30549,233731642,1.6545,1.6444,1.6401,,,,,,,
,1.437,,,,,minimal / hypnotic / instrumental,minimal,0.8225,1.35747,159456365,,2.0027,1.7268,,,1.494,1.7254,1.7695,,
,,,,,,atmospheric / dreamy / minimal,atmospheric,0.60264,1.5324,144717406,2.0136,1.9553,1.8745,1.879,1.8947,,,,,2.0632
,0.2357,,-0.1009,,,raw / vocal / dreamy,raw,-1.16839,-0.57643,230783963,-0.1821,,-0.4168,,,-0.3167,-0.4654,,,
-0.46,-0.1844,,,,,raw / percussive / minimal,raw,-1.08952,-1.07805,163360939,,-0.6075,-0.8385,,,,-0.9414,,-0.7816,
0.1603,0.441,0.0443,-0.7074,,,raw / percussive / euphoric,raw,-0.91494,-0.3428,76922822,,,,-1.002,,,-0.0236,,,
,1.068,,1.9758,,,vocal / raw / dreamy,vocal,-1.47811,0.25618,35885536,0.8771,0.1783,0.5324,,,,,0.2013,,
,,,,,-0.7317,dreamy / driving / minimal,dreamy,-1.12041,-0.84074,126430441,-0.2842,-0.5718,,-0.5563,,,-0.6386,,-0.7959,
0.3349,-0.9869,-1.1692,-1.2969,,,percussive / warm / raw,percussive,-1.10882,-1.30526,148040935,,-1.2351,,,,,-0.9202,,,
-0.2408,,,,,,punchy / percussive / minimal,punchy,-0.39966,-1.14169,148972611,-0.6136,-0.5243,,-0.5628,-0.7127,,,,0.0792,
,1.697,,2.1801,,,vocal / dark / raw,vocal,0.47894,1.47611,229557484,1.4867,,,1.6799,1.8353,,1.6543,,,
0.7658,-0.3846,,-0.3794,,-1.1761,percussive / vocal / raw,percussive,-1.01947,-1.24866,196520003,,-1.0536,,,,,-1.2028,,,
,,,,,-0.2644,punchy / deep / dark,punchy,-0.53402,-0.88724,130818716,,-0.4795,,-0.5515,0.3855,0.629,,,0.7654,
,1.4383,,2.0276,,1.2115,vocal / instrumental / raw,vocal,-0.28292,0.46387,125094953,1.4292,,1.4884,1.146,,,,,,
,,,,,-0.7229,punchy / minimal / warm,punchy,-1.04337,-0.77411,201355522,-0.7137,-0.569,-0.6481,,,,-0.6393,,-0.427,
1.0842,,1.8056,,1.3764,,euphoric / intense / percussive,euphoric,0.92776,0.80923,206452777,,,,,,,0.615,0.5425,0.8109,
,,,,0.9496,,driving / intense / atmospheric,driving,0.78758,0.62364,106233154,0.842,,,0.9525,0.8663,,,0.812,,0.9263
1.1005,-0.2338,-0.6369,,,,percussive / punchy / warm,percussive,-0.10193,-0.74538,256589253,,,,-0.6143,,,-0.1505,,0.0662,
-0.3798,,-0.5912,,-0.8708,,punchy / dark / percussive,punchy,-0.55425,-1.12883,44300384,,,,,-0.3103,-0.9096,,,0.2897,
0.9,0.7219,,0.9573,,-0.5753,vocal / percussive / raw,vocal,-0.80411,-1.33289,191761219,,,-0.131,,,-0.5476,,,,
,,2.296,,1.5481,2.477,piano / euphoric / intense,piano,0.77778,1.28942,26285491,,,,,,1.1759,,1.2559,,1.2655
,,,,0.6311,1.5924,piano / minimal / hypnotic,piano,0.4281,0.43848,88706770,,1.2798,,,,,,1.1796,1.1675,0.8019
,,,,,1.1836,instrumental / deep / punchy,instrumental,0.59658,0.70166,38219933,,,1.3699,,,1.2841,0.8932,0.9982,1.2493,
0.8053,0.224,-0.1898,,-0.1877,,percussive / raw / punchy,percussive,0.04748,-0.6666,142159079,,,,,-0.3304,,,,-0.0227,
1.4347,0.4989,0.7498,0.8777,0.9692,,percussive / intense / vocal,percussive,0.82088,0.49272,151005422,,,,,,,,,0.6026,
,,,0.9925,,-0.2087,vocal / instrumental / minimal,vocal,-0.40226,-0.37797,33480066,,-0.0269,0.0482,,-0.1638,,,,,-0.1192
0.4365,0.1679,,0.2067,,,percussive / vocal / raw,percussive,-0.40389,-0.95515,176302291,,-0.243,0.0321,-0.492,,,,,,
,,0.5758,,0.4849,,dark / punchy / euphoric,dark,0.39787,0.13348,159827709,,,,0.525,1.0819,,,,0.8393,0.4096
,,,1.6701,,0.9949,instrumental / minimal / vocal,instrumental,0.44243,0.42429,16532618,1.162,1.9958,2.0389,1.1757,,,,,,
,1.5615,1.6807,2.1286,1.81,1.4367,vocal / intense / euphoric,vocal,1.05953,1.03874,261403496,,,,,,,,,,1.242
,,,,1.5991,,dreamy / atmospheric / hypnotic,dreamy,1.30907,1.61023,58947367,2.3967,1.8382,,,,,,2.0247,1.4288,2.2955
,,,1.1994,,,vocal / dark / instrumental,vocal,0.46904,0.54728,112288398,0.8732,0.8868,0.9295,,1.1127,,,,,0.8579
,,2.3167,,2.3707,,punchy / warm / intense,punchy,2.03417,1.81348,98126954,,,,,2.1613,,2.3921,2.0362,3.0583,
,,,,,,deep / dark / minimal,deep,-0.23597,-0.73157,73538313,,0.5267,0.4217,0.3166,0.7473,0.8073,,,0.4114,
0.7286,1.8608,0.6258,1.4533,,,raw / vocal / instrumental,raw,0.44052,0.47192,187877875,,,0.7763,0.739,,,,,,
,1.4251,,1.0811,,-0.396,raw / vocal / instrumental,raw,-0.93174,-1.15707,194156156,-0.3336,,0.2034,,,-0.22,,,,
0.5703,,0.9353,1.0062,0.7802,,vocal / euphoric / intense,vocal,0.2009,0.1227,199674689,,,,,0.4144,,,,,0.4136
,0.7613,,1.2948,0.2395,,vocal / raw / dark,vocal,-0.06053,-0.09893,89197120,0.2363,,,,0.4084,,,,,0.2521
,0.1673,,0.2848,0.2008,,dark / deep / punchy,dark,0.05353,-0.41349,123209750,,,,,0.9898,0.413,,,0.3853,
0.4622,0.0714,,-0.8228,,,percussive / raw / driving,percussive,-0.60354,-0.9913,31640599,,,,-0.571,-0.8623,,-0.629,,,
,,,-0.0453,0.0404,,punchy / dark / intense,punchy,0.05771,-0.48415,143035952,,,,0.0045,0.3817,-0.01,,,0.5511,
,,,,,0.8033,punchy / piano / dark,punchy,0.40569,-0.1448,194965514,0.472,,,,0.6921,0.5554,,,0.8988,0.5456
,,2.7497,,3.1047,,intense / punchy / euphoric,intense,2.20892,1.97148,253271054,,,,2.6345,2.7382,2.4449,,,3.0603,
,0.2549,,,,,punchy / deep / dark,punchy,0.09804,-0.27084,242819069,,0.2162,0.0841,,0.5357,0.61,,,1.0149,
,,,,,,punchy / dark / deep,punchy,0.2476,-0.33083,52813548,,0.1036,,0.2363,0.7343,0.4794,0.0354,,0.8334,
0.085,0.1955,,1.1117,,,vocal / raw / instrumental,vocal,-0.40459,-0.43296,49601544,-0.1837,0.0715,0.1377,,,,,,,
0.4089,-0.2049,,0.0205,,,percussive / vocal / raw,percussive,-0.6373,-0.9911,241438620,-0.7568,-0.5917,-0.7981,,,,,,,
-0.0421,,,,,-0.3423,minimal / percussive / punchy,minimal,-0.58667,-0.75087,237887698,,0.0964,,,,-0.4684,,-0.5659,-0.1228,
,1.267,,,0.7997,,instrumental / raw / driving,instrumental,0.68794,0.12341,63777972,,1.0032,1.3515,1.1165,,0.8373,,,,
,0.6259,,,,,minimal / instrumental / warm,minimal,-0.00269,0.44116,169921852,0.5299,0.9053,0.6746,,,,0.633,0.5265,,
,-0.6306,,-0.1531,,-0.0949,dreamy / piano / instrumental,dreamy,-1.12192,-0.69365,212631185,0.1644,-0.4771,-0.112,,,,,,,
